turn,object_id,object_type,state,downtime_reason,shortage_flag,missing_inputs,maintenance_event,maintenance_duration,queue_duration,cost,vibration_level,output_qualities,output_count,cycle_time,total_stock,stock_by_type,mat_id_in,mat_type_in,source_in,mat_id_out,mat_type_out,dest_out,blocked_downstream_id
1,INV_COAL,INV,,,,,,,,,,,,,,,,,,COAL108,RAW_COAL,WS2,
1,INV_COPPER,INV,,,,,,,,,,,,,,,,,,COPPER112,RAW_COPPER,WS17,
1,INV_GLASS,INV,,,,,,,,,,,,,,,,,,GLASS115,RAW_GLASS,WS9,
1,INV_RUBBER,INV,,,,,,,,,,,,,,,,,,RUBBER124,RAW_RUBBER,WS15,
1,INV_STEEL,INV,,,,,,,,,,,,,,,,,,STEEL103,COMP_STEEL,WS2,
12,WS1,WS,2,,,,,,,8,0.03807236804078082,,,,,,,,,,,,
12,WS10,WS,2,,,,,,,6,0.038022298287330794,,,,,,,,,,,,
12,WS11,WS,2,,,,,,,6,0.023121069299653817,,,,,,,,,,,,
12,WS12,WS,2,,,,,,,7,0.03584652313920475,,,,,,,,,,,,
12,WS13,WS,4,maintenance,,,maintenance_start,5,,2,0.025714357375668878,,,,,,,,,,,,
12,WS14,WS,2,,,,,,,12,0.027866353222890453,,,,,,,,,,,,
12,WS15,WS,2,,,,,,,6,0.038737444600940425,,,,,,,,,,,,
12,WS16,WS,1,,True,"[""COMP_ENGINE""]",,,,2,0.021245075071561887,,,,,,,,,,,,
12,WS17,WS,4,maintenance,,,,,,0,0.02245921366620318,,,,,,,,,,,,
12,WS18,WS,1,,True,"[""COMP_WHEELS""]",,,,2,0.03586485119099814,,,,,,,,,,,,
12,WS19,WS,2,,,,,,,7,0.03298350028579119,,,,,,,,,,,,
12,WS2,WS,4,maintenance,,,,,,0,0.023508221809649253,,,,,,,,,,,,
12,WS3,WS,2,,,,,,,8,0.024879181602070494,,,,,,,,,,,,
12,WS4,WS,2,,,,,,,7,0.028807027467205502,,,,,,,,,,,,
